Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 25,12/02/24,Trabzonspor,Hatayspor,2,0,7.43,6.84,4-2-3-1,4-2-3-1,(c) U. Çakır; T. Meunier; J. Fernández; S. Denswil; E. Elmalı; B. A. Özdemir; B. Mendy; E. Višća; E. Bardhi; M. Trézéguet; E. Destan,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; G. Sağlam; C. Strandberg; F. Dele-Bashiru; R. Rivas; H. Dervişoğlu
23/24,Round 25,12/02/24,Kayserispor,Beşiktaş,0,0,6.81,7.06,4-1-4-1,4-2-3-1,B. Bayazit; (c) G. Sazdağı; J. Jeanvier; A. Kocaman; L. Carole; M. Bourabia; A. B. Morte; M. E. Özbek; O. Shukurov; M. Cardoso; D. Nazon,M. Günok; O. Bulut; (c) N. Uysal; J. Worrall; B. Zaynutdinov; D. Amartey; G. Fernandes; E. Muçi; J. Muleka; C. Tosun; S. Kilicsoy
23/24,Round 25,12/02/24,Samsunspor,Antalyaspor,2,0,7.03,6.74,4-2-3-1,4-1-4-1,O. Kocuk; (c) Z. Yavru; Ľ. Šatka; A. Öztürk; R. V. Drongelen; F. Tait; Y. A. Bennasser; C. Holse; O. Ntcham; E. Kılınç; M. Mouandilmadji,H. Leite; B. Balcı; (c) B. Öztürk; Naldo; E. Yeşilyurt; J. Kałuziński; Z. Bytyqi; S. v. d. Streek; E. Rakip; S. Larsson; A. Buksa
23/24,Round 24,02/02/24,Hatayspor,Karagümrük,3,1,6.89,6.76,4-1-4-1,4-2-3-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; G. Sağlam; J. Fernandes; C. Massanga; F. Dele-Bashiru; R. Rivas; C. Strandberg,S. Sirigu; D. Biraschi; S. Dursun; F. Ceccherini; (c) M. Mercan; A. Bertolacci; M. Rohdén; E. Mor; V. Eysseric; G. Yalçın; S. Dursun
23/24,Round 24,02/02/24,Ankaragücü,Sivasspor,0,0,7.1,7.03,4-1-4-1,5-3-2,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; M. Hanousek; (c) T. Ciğerci; O. Moruțan; A. K. Güneren; Pedrinho; R. Cephas; A. Sowe,(c) A. Ş. Vural; M. Paluli; A. Poungouras; A. Appindangoyé; S. Camara; A. Okumuş; B. Elmaz; İ. Akdağ; R. Kvet; E. Başsan; R. Manaj
23/24,Round 24,02/02/24,Samsunspor,Galatasaray,0,2,6.79,7.16,4-2-3-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; Ľ. Šatka; A. Öztürk; R. V. Drongelen; T. Antalyalı; Y. A. Bennasser; C. Holse; O. Ntcham; E. Kılınç; E. Kara,(c) F. Muslera; K. Ayhan; D. Sánchez; V. Nelsson; B. Kutlu; L. Torreira; K. Demirbay; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
23/24,Round 24,03/02/24,Rizespor,Konyaspor,0,0,7.1,7.38,4-2-3-1,4-2-3-1,(c) G. Akkan; M. T. Şahin; A. Mocsi; E. Topçu; C. Højer; J. Shelvey; I. Olawoyin; B. Keser; D. Varešanović; A. Zeqiri; A. Gaich,J. Słowik; C. Karayel; U. Yazğılı; F. Damjanović; (c) G. H. Sityá; S. N'Zonzi; A. Cicâldău; L. Prip; O. Ülgün; A. Ndao; V. Ethemi
23/24,Round 24,03/02/24,Başakşehir,İstanbulspor,2,0,7.29,6.84,4-1-4-1,3-5-1-1,(c) V. Babacan; L. Duarte; O. Ba; J. Opoku; L. Dubois; Souza; D. Türüç; E. İlkhan; B. Özcan; J. Figueiredo; K. Piątek,A. Arda; O. Erdoğan; M. Yeşil; S. Deli; D. Sambissa; F. Loshaj; M. Vorobjovas; M. Sarıkaya; A. Yaşar; (c) E. Rroca; D. Traore
23/24,Round 24,03/02/24,Antalyaspor,Fenerbahçe,0,2,6.84,7.33,4-1-4-1,4-2-3-1,H. Leite; E. Yeşilyurt; (c) V. Sarı; B. Öztürk; G. Vural; J. Kałuziński; S. Larsson; R. Safuri; D. Šarić; Z. Bytyqi; A. Buksa,D. Livaković; M. Müldür; A. Djiku; Ç. Söyüncü; F. Kadıoğlu; R. Krunić; İ. Yüksek; C. Ünder; S. Szymański; D. Tadić; (c) E. Džeko
23/24,Round 24,03/02/24,Gaziantep,Kayserispor,1,1,6.88,6.88,3-4-3,4-2-3-1,F. Niță; A. Kızıldağ; N. N'Koulou; E. Ersoy; D. Sorescu; F. Soyalp; (c) A. Maxim; S. M'Bakata; M. Eskihellaç; D. Drăguş; L. Marković,B. Bayazit; R. Civelek; (c) D. Kolovetsios; A. Kocaman; L. Carole; M. E. Özbek; K. K. Yılmaz; A. B. Morte; M. Cardoso; H. A. Kaldırım; G. Sazdağı
23/24,Round 24,04/02/24,Pendikspor,Adana DS,2,1,7.05,6.88,4-2-2-2,4-3-3,E. Canpolat; S. Asan; A. Öztürk; J. K. Rassoul; N. Sequeira; G. Kaya; F. Midtsjø; (c) H. Akbunar; A. Diaby; M. U. Nayir; M. Thiam,Ş. Mahammadaliev; İ. Çokçalış; A. Gravillon; P. A. Cissé; Y. Erdoğan; (c) E. Akbaba; É. Michut; N. Alioui; M. Nourani; A. Aimbetov; Y. Barası
23/24,Round 24,04/02/24,Kasımpaşa,Alanyaspor,2,1,7.03,6.75,4-1-4-1,4-2-3-1,A. E. Yanar; C. Winck; J. Porozo; Y. Özcan; M. B. Ouanes; G. Gül; M. Fall; H. Hajradinović; (c) A. Kara; O. Çağlayan; N. Da Costa,E. Taşkıran; F. Hadergjonaj; F. Bayır; N. Lima; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; J. Novais; L. Augusto; (c) E. Karaca
23/24,Round 24,04/02/24,Beşiktaş,Trabzonspor,2,0,6.89,6.83,4-2-3-1,4-2-3-1,M. Günok; J. Svensson; (c) N. Uysal; B. Zaynutdinov; U. Meraş; D. Amartey; G. Fernandes; R. Ghezzal; M. Rashica; C. Tosun; S. Kilicsoy,(c) U. Çakır; M. Aydın; R. Baniya; S. Denswil; E. Elmalı; B. A. Özdemir; B. Mendy; E. Višća; E. Bardhi; M. Trézéguet; E. Destan
23/24,Round 23,27/01/24,Alanyaspor,Pendikspor,1,1,6.82,6.95,4-2-3-1,4-2-2-2,E. Taşkıran; F. Hadergjonaj; N. Lima; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; J. Novais; Y. Özdemir; (c) E. Karaca,E. Canpolat; (c) E. Özgenç; A. Öztürk; J. K. Rassoul; N. Sequeira; G. Kaya; İ. Akdağ; H. Akbunar; M. Thiam; M. U. Nayir; E. Yardımcı
23/24,Round 23,27/01/24,Adana DS,Hatayspor,0,1,6.84,6.76,4-2-3-1,4-1-4-1,Ş. Mahammadaliev; İ. Çokçalış; S. Güler; A. Gravillon; A. Dursun; (c) B. Stambouli; É. Michut; D. Babajide; E. Akbaba; Y. Erdoğan; Nani,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; O. Matur; G. Sağlam; J. Fernandes; F. Dele-Bashiru; C. Massanga; R. Rivas; R. Dadaşov
23/24,Round 23,28/01/24,Konyaspor,Başakşehir,2,3,6.73,7.01,4-2-3-1,4-1-4-1,D. Ertaş; U. Yazğılı; M. Mert; F. Damjanović; (c) G. H. Sityá; S. Dikmen; S. N'Zonzi; L. Prip; A. Cicâldău; M. Moreno; S. Cikalleshi,(c) V. Babacan; L. Duarte; O. Ba; J. Opoku; L. Dubois; O. Ergün; D. Türüç; D. Aleksić; B. Özcan; B. Aydoğmuş; K. Piątek
23/24,Round 23,28/01/24,Karagümrük,Rizespor,4,0,7.29,6.34,4-1-4-1,4-2-3-1,S. Sirigu; D. Biraschi; S. Dursun; F. Ceccherini; (c) M. Mercan; A. Bertolacci; T. Teklić; V. Eysseric; M. Rohdén; G. Yalçın; S. Dursun,(c) G. Akkan; M. T. Şahin; A. Mocsi; E. Topçu; C. Højer; J. Shelvey; M. Pala; Gustavo Sauer; I. Olawoyin; A. Zeqiri; A. Gaich
23/24,Round 23,28/01/24,Sivasspor,Beşiktaş,1,0,6.93,6.95,4-1-4-1,4-3-3,A. Ş. Vural; M. Paluli; A. Appindangoyé; S. Camara; U. Çiftçi; A. Poungouras; E. Başsan; R. Kvet; (c) H. Arslan; M. Barrow; R. Manaj,E. Destanoğlu; J. Svensson; (c) N. Uysal; O. Colley; B. Zaynutdinov; S. Uçan; D. E. Tıknaz; G. Fernandes; R. Ghezzal; C. Tosun; M. Rashica
23/24,Round 23,28/01/24,Fenerbahçe,Ankaragücü,2,1,7.14,6.69,4-2-3-1,4-2-3-1,D. Livaković; M. Müldür; S. Aziz; A. Djiku; F. Kadıoğlu; R. Krunić; İ. Yüksek; C. Ünder; S. Szymański; D. Tadić; (c) E. Džeko,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; M. Hanousek; A. K. Güneren; (c) T. Ciğerci; O. Moruțan; Pedrinho; R. Cephas; A. Sowe
23/24,Round 23,29/01/24,İstanbulspor,Samsunspor,1,1,6.91,6.95,3-5-1-1,4-2-3-1,A. Arda; O. Erdoğan; M. Yeşil; S. Deli; D. Sambissa; M. Sarıkaya; M. Vorobjovas; F. Loshaj; A. Yaşar; (c) E. Rroca; E. K. Gültekin,O. Kocuk; H. M. Tan; Ľ. Šatka; A. Öztürk; M. Bola; Y. A. Bennasser; T. Antalyalı; C. Holse; F. Tait; (c) E. Kılınç; E. Kara
23/24,Round 23,29/01/24,Kayserispor,Antalyaspor,1,1,7.08,6.97,4-2-3-1,4-1-4-1,B. Bayazit; R. Civelek; (c) D. Kolovetsios; A. Kocaman; L. Carole; M. E. Özbek; K. K. Yılmaz; A. B. Morte; A. Karimi; M. Cardoso; G. Sazdağı,H. Leite; E. Yeşilyurt; (c) V. Sarı; B. Öztürk; G. Vural; J. Kałuziński; S. Larsson; R. Safuri; D. Šarić; Z. Bytyqi; A. Buksa
23/24,Round 23,29/01/24,Galatasaray,Gaziantep,2,1,7.12,6.92,4-2-3-1,3-5-2,(c) F. Muslera; K. Ayhan; V. Nelsson; D. Sánchez; B. Kutlu; L. Torreira; K. Demirbay; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi,F. Niță; A. Kızıldağ; (c) P. Djilobodji; E. Ersoy; D. Sorescu; F. Soyalp; M. Jevtović; A. Maxim; S. M'Bakata; L. Marković; D. Drăguş
23/24,Round 23,29/01/24,Trabzonspor,Kasımpaşa,2,3,6.97,6.98,4-2-3-1,4-2-3-1,(c) U. Çakır; M. Aydın; R. Baniya; J. Fernández; E. Elmalı; B. Mendy; B. A. Özdemir; E. Višća; T. Fountas; E. Bardhi; E. Destan,A. E. Yanar; C. Winck; T. U. Aydın; Y. Özcan; M. B. Ouanes; G. Gül; (c) A. Kara; M. Fall; H. Hajradinović; O. Çağlayan; N. Da Costa
23/24,Round 22,23/01/24,Hatayspor,Alanyaspor,1,1,6.66,7.07,4-1-4-1,4-2-3-1,(c) E. Kardeşler; K. Alıcı; G. M. Kilama; R. B. Yılmaz; O. Matur; G. Sağlam; J. Fernandes; F. Dele-Bashiru; A. Hodžić; R. Rivas; R. Dadaşov,E. Taşkıran; F. Hadergjonaj; N. Lima; F. Aliti; Y. Özdemir; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; P. Sisto; S. Córdova
23/24,Round 22,23/01/24,Beşiktaş,Adana DS,0,0,7.08,6.76,4-3-3,4-2-3-1,M. Günok; J. Svensson; (c) N. Uysal; B. Zaynutdinov; S. E. Terzi; T. Bingöl; D. E. Tıknaz; G. Fernandes; M. Rashica; C. Tosun; S. Kilicsoy,Ş. Mahammadaliev; İ. Çokçalış; S. Güler; A. Gravillon; Y. Erdoğan; (c) B. Stambouli; É. Michut; D. Babajide; E. Akbaba; M. Nourani; Y. Barası
23/24,Round 22,23/01/24,Pendikspor,Kasımpaşa,3,2,6.67,6.72,4-2-3-1,4-2-3-1,E. Canpolat; (c) E. Özgenç; A. Öztürk; J. K. Rassoul; N. Sequeira; F. Midtsjø; İ. Akdağ; H. Akbunar; E. Yardımcı; M. Thiam; M. U. Nayir,A. E. Yanar; I. Gomis; S. Çiftpınar; Y. Özcan; M. B. Ouanes; G. Gül; (c) A. Kara; M. Fall; H. Hajradinović; O. Çağlayan; N. Da Costa
23/24,Round 22,24/01/24,Gaziantep,Konyaspor,1,1,6.79,6.75,5-3-2,4-2-3-1,F. Niță; M. Eskihellaç; A. Kızıldağ; N. N'Koulou; (c) P. Djilobodji; J. Morais; F. Soyalp; M. Jevtović; O. Özçiçek; M. Cihan; L. Marković,D. Ertaş; A. Oğuz; M. Mert; U. Yazğılı; (c) G. H. Sityá; S. Dikmen; S. N'Zonzi; R. Murić; A. Cicâldău; M. Moreno; S. Cikalleshi
23/24,Round 22,24/01/24,Ankaragücü,Karagümrük,2,0,6.89,6.72,4-2-3-1,4-2-3-1,B. H. Güngördü; S. Kitsiou; (c) U. Radaković; N. Mujakić; M. Hanousek; A. K. Güneren; Pedrinho; O. Moruțan; E. Bekiroğlu; R. Cephas; F. Macheda,S. Sirigu; F. Veseli; S. Dursun; F. Ceccherini; (c) M. Mercan; F. Paoletti; A. Bertolacci; T. Teklić; V. Eysseric; K. Lasagna; G. Yalçın
23/24,Round 22,24/01/24,Antalyaspor,Sivasspor,2,1,7.34,6.89,4-1-4-1,3-4-3,H. Leite; E. Yeşilyurt; (c) V. Sarı; B. Öztürk; G. Vural; J. Kałuziński; S. Larsson; R. Safuri; D. Šarić; Z. Bytyqi; A. Buksa,A. Ş. Vural; M. Albayrak; A. Appindangoyé; S. Camara; M. Paluli; A. Parmak; A. Poungouras; (c) U. Çiftçi; E. Başsan; B. Koita; R. Manaj
23/24,Round 22,24/01/24,Başakşehirx2,Fenerbahçe,0,1,6.67,,4-1-4-1,4-2-3-1,(c) V. Babacan; L. Dubois; L. Duarte; O. Ba; L. Lima; O. Ergün; D. Türüç; Ö. A. Şahiner; B. Özcan; J. Figueiredo; K. Piątek,D. Livaković; M. Müldür; S. Aziz; J. Oosterwolde; F. Kadıoğlu; İ. Yüksek; R. Krunić; İ. C. Kahveci; S. Szymański; D. Tadić; (c) E. Džeko
23/24,Round 22,25/01/24,Samsunspor,Kayserispor,2,0,,,,4-2-3-1,; ; ; ; ; ; ; E. Kılınç; C. Holse; (c) M. Fofana; E. Kara,; ; ; ; ; ; ; ; ; ; 
23/24,Round 22,25/01/24,Rizespor,Trabzonspor,1,0,,,,,; ; ; ; ; ; ; ; ; ; ,; ; ; ; ; ; ; ; ; ; 
23/24,Round 38,24/05/24,Alanyaspor,Antalyaspor,1,1,7.03,6.78,4-2-3-1,4-2-3-1,Y. Karagöz; F. Hadergjonaj; F. Bayır; N. Lima; F. Aliti; N. Janvier; J. Novais; Carlos Eduardo; (c) E. Karaca; Y. Özdemir; U. Hwang,A. Dadakdeniz; M. Yilmaz; (c) V. Sarı; A. Gerxhaliu; G. Vural; J. Kałuziński; D. Milošević; S. v. d. Streek; R. Safuri; S. Larsson; A. Buksa
23/24,Round 38,25/05/24,Karagümrük,Samsunspor,3,1,7.01,6.74,4-2-3-1,4-2-3-1,E. Bilgin; N. Sangaré; (c) D. Biraschi; K. Günter; E. Tintiş; F. Paoletti; A. Uğur; C. Keleş; T. Teklić; R. Mendes; Marcão,J. Szumski; H. M. Tan; Y. E. Çift; Y. A. Bennasser; M. Bola; (c) O. Çelik; F. Tait; B. Raman; C. Holse; A. Muja; E. Kara
23/24,Round 38,25/05/24,Sivasspor,Kayserispor,2,1,6.94,6.78,4-1-4-1,4-2-3-1,Đ. Nikolić; M. Paluli; A. Appindangoyé; M. Albayrak; U. Çiftçi; C. Charisis; E. Başsan; A. Turgunboev; M. Caktaš; B. Koita; (c) R. Manaj,O. Piri; (c) J. Attamah; J. Jeanvier; A. Kocaman; L. Carole; K. K. Yılmaz; M. Bourabia; C. Mané; M. E. Özbek; A. B. Morte; S. Bahoken
23/24,Round 38,26/05/24,Adana DS,Başakşehir,2,6,6.35,,5-4-1,4-1-4-1,Y. Aktaş; İ. Çokçalış; A. Gravillon; (c) D. Toköz; A. Burak; Y. Atal; S. Mendoza; Maestro; É. Michut; O. Demirbağ; T. Aydoğan,D. Dilmen; O. Kemen; H. Güreler; J. Opoku; L. Dubois; O. Ergün; D. Türüç; (c) Ö. A. Şahiner; B. Özcan; Davidson; K. Piątek
23/24,Round 38,26/05/24,Fenerbahçe,İstanbulspor,6,0,7.54,6.35,4-4-2,5-4-1,D. Livaković; B. Osayi-Samuel; R. Becão; Ç. Söyüncü; F. Kadıoğlu; J. King; Fred; S. Szymański; D. Tadić; S. Dursun; (c) E. Džeko,M. Serbest; D. Sambissa; B. Vardar; O. Erdoğan; R. Coly; (c) A. Yaşar; V. Temel; M. Vorobjovas; Jackson; Ö. Şahan; M. Mamadou
23/24,Round 38,26/05/24,Hatayspor,Rizespor,2,0,7.14,6.64,4-1-4-1,4-2-3-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; Ö. F. Beyaz; M. Boudjemaa; G. Sağlam; F. Dele-Bashiru; C. Strandberg,(c) T. Çetin; M. T. Şahin; H. Alikulov; S. A. Yasar; C. Højer; M. Pala; J. Shelvey; I. Olawoyin; M. Sarıkaya; M. Minchev; A. Gaich
23/24,Round 38,26/05/24,Kasımpaşa,Beşiktaş,2,1,7.25,6.79,4-1-4-1,4-3-3,A. Gianniotis; G. Gül; J. Porozo; S. Çiftpınar; Y. Özcan; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; O. Çağlayan; N. Da Costa,E. Destanoğlu; O. Bulut; T. T. Sanuç; B. Zaynutdinov; A. Masuaku; F. Ay; D. E. Tıknaz; A. Oxlade-Chamberlain; M. Hekimoglu; (c) C. Tosun; S. Kilicsoy
23/24,Round 38,26/05/24,Konyaspor,Galatasaray,1,3,6.77,7.14,4-2-3-1,4-2-3-1,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi,(c) F. Muslera; K. Ayhan; D. Sánchez; A. Bardakcı; D. Köhn; L. Torreira; B. Kutlu; B. A. Yılmaz; D. Mertens; K. Aktürkoğlu; M. Icardi
23/24,Round 38,26/05/24,Pendikspor,Gaziantep,0,1,6.88,6.91,4-3-3,4-3-3,E. Canpolat; (c) E. Özgenç; A. Öztürk; M. Akça; N. Sequeira; E. Çekiçi; F. Midtsjø; A. Lusamba; L. Kappel; M. U. Nayir; M. Thiam,F. Niță; Ö. Artan; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; D. Drăguş; M. Gradel
23/24,Round 38,26/05/24,Trabzonspor,Ankaragücü,4,2,7.08,6.61,4-2-3-1,4-2-3-1,M. T. Tepe; T. Meunier; R. Baniya; F. Benković; E. Elmalı; (c) B. A. Özdemir; U. Güneş; N. Pépé; E. Bardhi; M. Trézéguet; E. Destan,B. H. Güngördü; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; A. Flips; A. K. Güneren; C. Bassogog; R. Saponara; A. Chatzigiovanis; A. Sowe
23/24,Round 37,17/05/24,İstanbulspor,Sivasspor,1,3,6.85,6.93,5-4-1,4-1-4-1,M. Serbest; D. Duhaney; O. Erdoğan; M. Yeşil; S. Deli; (c) A. Yaşar; D. Sambissa; M. Vorobjovas; F. Loshaj; M. Mamadou; Jackson,Đ. Nikolić; A. Okumuş; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Elmaz; B. Koita; A. Turgunboev; C. Charisis; C. N'Jie; R. Manaj
23/24,Round 37,17/05/24,Antalyaspor,Adana DS,2,1,7.01,6.86,4-2-3-1,5-4-1,H. Leite; M. Yilmaz; (c) V. Sarı; A. Gerxhaliu; G. Vural; J. Kałuziński; D. Šarić; B. Assombalonga; R. Safuri; S. Larsson; A. Buksa,Ş. Mahammadaliev; İ. Çokçalış; A. Gravillon; (c) D. Toköz; A. Burak; Y. Atal; T. Aydoğan; Maestro; É. Michut; N. Alioui; S. Mendoza
23/24,Round 37,18/05/24,Başakşehir,Trabzonspor,0,1,6.8,6.99,4-1-4-1,4-2-3-1,M. Şengezer; L. Duarte; O. Ba; J. Opoku; (c) Ö. A. Şahiner; O. Ergün; D. Türüç; O. Kemen; B. Özcan; Davidson; K. Piątek,(c) U. Çakır; T. Meunier; B. Mendy; S. Denswil; E. Elmalı; B. A. Özdemir; U. Güneş; E. Višća; E. Bardhi; T. Fountas; P. Onuachu
23/24,Round 37,18/05/24,Beşiktaş,Hatayspor,2,2,6.89,6.85,4-2-3-1,4-1-4-1,E. Destanoğlu; J. Svensson; T. T. Sanuç; O. Colley; A. Masuaku; D. E. Tıknaz; M. A. Musrati; M. Rashica; A. Oxlade-Chamberlain; S. Kilicsoy; (c) C. Tosun,V. Bekaj; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; C. Sertel; C. Massanga; F. Dele-Bashiru; M. Boudjemaa; R. Pedro; J. Fernandes; C. Strandberg
23/24,Round 37,18/05/24,Rizespor,Kasımpaşa,0,0,7.06,7.03,4-2-3-1,4-1-4-1,T. Çetin; M. T. Şahin; A. Mocsi; S. A. Yasar; C. Højer; (c) J. Shelvey; M. Sarıkaya; D. Babajide; I. Olawoyin; A. Zeqiri; A. Gaich,A. Gianniotis; G. Gül; J. Porozo; S. Çiftpınar; M. B. Ouanes; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa
23/24,Round 37,18/05/24,Gaziantep,Karagümrük,3,1,6.93,6.53,4-3-3,4-1-4-1,F. Niță; S. M'Bakata; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; A. Badji; M. Gradel,S. Sirigu; D. Biraschi; K. Günter; F. Ceccherini; (c) M. Mercan; D. Kourbelis; C. Keleş; M. Rohdén; V. Eysseric; R. Mendes; Marcão
23/24,Round 37,18/05/24,Kayserispor,Konyaspor,2,2,6.44,6.94,4-2-3-1,4-2-3-1,O. Piri; G. Sazdağı; J. Jeanvier; (c) D. Kolovetsios; L. Carole; M. Bourabia; K. K. Yılmaz; A. B. Morte; M. Cardoso; C. Mané; D. Nazon,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; S. N'Zonzi; (c) S. Dikmen; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi
23/24,Round 37,18/05/24,Ankaragücü,Pendikspor,0,0,6.9,7.01,4-1-4-1,4-2-3-1,B. H. Güngördü; S. Kitsiou; U. Radaković; N. Mujakić; K. Karataş; (c) T. Ciğerci; C. Bassogog; E. Bekiroğlu; Pedrinho; G. Rodrigues; A. Sowe,E. Canpolat; (c) E. Özgenç; A. Öztürk; Welinton; N. Sequeira; F. Midtsjø; A. Lusamba; H. Akbunar; G. Kaya; A. Diaby; M. U. Nayir
23/24,Round 37,18/05/24,Samsunspor,Alanyaspor,1,1,6.76,6.78,4-2-3-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; Y. E. Çift; R. V. Drongelen; S. Gönül; Y. A. Bennasser; T. Antalyalı; C. Holse; O. Ntcham; E. Kılınç; M. Mouandilmadji,E. Taşkıran; F. Hadergjonaj; N. Lima; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; L. Augusto; A. Hassan
23/24,Round 37,19/05/24,Galatasaray,Fenerbahçe,0,1,6.75,6.62,4-2-3-1,4-2-3-1,(c) F. Muslera; K. Ayhan; V. Nelsson; D. Sánchez; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi,D. Livaković; B. Osayi-Samuel; Ç. Söyüncü; J. Oosterwolde; F. Kadıoğlu; A. Djiku; Fred; S. Szymański; M. H. Yandaş; (c) D. Tadić; M. Batshuayi
23/24,Round 36,12/05/24,Adana DS,Gaziantep,1,6,6.04,7.33,4-2-3-1,4-3-3,Ş. Mahammadaliev; İ. Çokçalış; J. Manev; A. Gravillon; M. Mohammadi; T. Aydoğan; É. Michut; S. Mendoza; Maestro; Y. Erdoğan; (c) M. Balotelli,F. Niță; S. M'Bakata; E. Ersoy; (c) P. Djilobodji; M. Eskihellaç; O. Özçiçek; N. N'Koulou; A. Maxim; L. Marković; D. Drăguş; M. Gradel
23/24,Round 36,12/05/24,Alanyaspor,Beşiktaş,1,1,6.97,6.86,3-4-1-2,4-2-3-1,E. Taşkıran; (c) F. Aksoy; F. Aliti; J. Balkovec; F. Hadergjonaj; Richard Cândido; L. Fer; L. Augusto; Carlos Eduardo; O. Aydın; U. Hwang,M. Günok; J. Svensson; T. T. Sanuç; (c) N. Uysal; A. Masuaku; S. Uçan; G. Fernandes; O. Bulut; E. Muçi; J. Muleka; C. Tosun
23/24,Round 36,12/05/24,Karagümrük,Galatasaray,2,3,6.74,7.18,4-2-3-1,4-2-3-1,S. Sirigu; N. Sangaré; K. Günter; F. Ceccherini; (c) M. Mercan; M. Rohdén; D. Kourbelis; C. Keleş; V. Eysseric; R. Mendes; Marcão,(c) F. Muslera; K. Ayhan; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi
23/24,Round 36,12/05/24,Fenerbahçe,Kayserispor,3,0,7.23,6.66,4-2-3-1,4-2-3-1,D. Livaković; F. Kadıoğlu; R. Becão; Ç. Söyüncü; J. Oosterwolde; A. Djiku; Fred; C. Ünder; S. Szymański; (c) D. Tadić; M. Batshuayi,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; L. Carole; K. K. Yılmaz; O. Shukurov; M. Cardoso; M. Bourabia; C. Mané; A. B. Morte
23/24,Round 36,12/05/24,Hatayspor,Ankaragücü,2,1,6.95,6.86,4-1-4-1,4-1-4-1,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; C. Demir; F. Ghoulam; C. Massanga; J. Fernandes; M. Boudjemaa; F. Dele-Bashiru; D. Sinik; C. Strandberg,E. Özbir; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; Pedrinho; C. Bassogog; A. Flips; E. Bekiroğlu; A. Chatzigiovanis; A. Sowe
23/24,Round 36,12/05/24,Kasımpaşa,Antalyaspor,3,1,6.99,6.73,4-1-4-1,4-4-2,A. Gianniotis; G. Gül; J. Porozo; Y. Özcan; M. B. Ouanes; L. Sadiku; M. Fall; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa,H. Leite; (c) V. Sarı; Naldo; Ö. Toprak; G. Vural; E. Yeşilyurt; J. Kałuziński; D. Šarić; S. Larsson; R. Safuri; B. Assombalonga
23/24,Round 36,12/05/24,Konyaspor,Samsunspor,3,0,7.09,6.51,4-2-3-1,4-2-3-1,J. Słowik; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; S. N'Zonzi; (c) S. Dikmen; A. Ndao; O. Ülgün; V. Ethemi; S. Cikalleshi,O. Kocuk; K. Schindler; Y. E. Çift; R. V. Drongelen; M. Bola; F. Tait; T. Antalyalı; B. Raman; C. Holse; (c) E. Kılınç; M. Mouandilmadji
